id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1331704,Trendy apartment in down town. WiFi,5824416,F.,L'EIXAMPLE,RUSSAFA,39.46139,-0.37657,Entire home/apt,64,2,197,2025-06-01,1.36,1,57,13,VT-44536-V
1381562,"Céntrico, moderno y a buen precio",7481013,Jesus,CIUTAT VELLA,EL CARME,39.47938,-0.3816,Entire home/apt,99,3,359,2025-01-01,2.57,1,0,20,VT-45016-V
1381987,The heart of the old town,7483341,Juan Vicente,CIUTAT VELLA,EL CARME,39.47835,-0.37718,Private room,53,2,33,2019-06-10,0.23,1,42,0,
1400077,Central flat with sunny terrace,727214,Meike,CIUTAT VELLA,EL CARME,39.47837,-0.37671,Entire home/apt,,7,212,2025-05-26,1.49,1,15,20,VT-46600-V
1435971,Apartamento pleno centro,3419118,Ana Amaya,CIUTAT VELLA,LA SEU,39.47701,-0.37513,Entire home/apt,120,28,14,2025-04-28,0.10,1,9,3,
1460051,BEAUTIFUL 2 BEDROOM FLAT WITH WIFI,6871400,Montse,L'EIXAMPLE,LA GRAN VIA,39.46449,-0.36583,Entire home/apt,124,11,243,2025-05-14,1.69,1,249,28,44796795V
1470620,Nordic Stay Valencia 5 - Joaquin Sorolla station,3828810,Tom,JESUS,LA RAIOSA,39.45716,-0.38505,Entire home/apt,100,7,66,2025-06-13,0.46,1,149,23,ESFCTU000046067000153312000000000000000000VT-46325-V2
1499012,"Premium, Lux & Comfort by the Sea",8010349,Juan Jose,POBLATS MARITIMS,LA MALVA-ROSA,39.48014,-0.32582,Entire home/apt,99,11,324,2020-10-13,2.25,1,320,0,
1538774,Loft Torres de Serranos,8204317,Carlos,CIUTAT VELLA,EL CARME,39.47973,-0.37538,Entire home/apt,141,4,227,2025-06-04,1.85,1,110,16,VT-38036-V
1587310,Single room in Benimaclet,8286196,Elena,BENIMACLET,BENIMACLET,39.48643,-0.36135,Private room,27,2,76,2025-05-30,0.65,1,26,10,
1639276,Main Central Station Apartment,8704211,Francisco Javier,EXTRAMURS,LA ROQUETA,39.46665,-0.37949,Entire home/apt,129,3,182,2025-06-03,1.29,2,170,19,VT-41697-V
1702630,Charming house next to the beach,8988014,Emilio Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46594,-0.3318,Entire home/apt,113,3,119,2025-04-07,0.87,6,51,4,VT-36805-V
1713200,Beautiful Beach Studio,8987701,Adolfo Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46639,-0.33211,Entire home/apt,129,2,26,2025-05-30,0.19,4,12,3,VT-36716-V
1715466,Apt Cabanyal | Beach 8 Min | Terrace | Smart TV,9046020,David,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.470970153808594,-0.3310120105743408,Entire home/apt,106,1,175,2025-06-09,1.28,2,161,23,VT-38167-V
1740954,Valencia's  apartment 3 bedroom,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.45926,-0.37637,Entire home/apt,128,30,57,2024-06-12,0.41,4,270,0,
1758184,cozy loft patio+pool +wifi,9244329,Jo,L'EIXAMPLE,RUSSAFA,39.463,-0.36836,Entire home/apt,147,3,313,2025-06-16,2.21,4,199,13,VT-36177-V
1830872,Beautiful House with terrace,9575983,Alejandro,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46482,-0.32747,Entire home/apt,278,2,304,2025-06-09,2.18,1,267,30,VT-33277-V
1842000,Luxury air-con 3 bed apt. Arts and Sciences area,9222108,Diana,CAMINS AL GRAU,PENYA-ROJA,39.45848846435547,-0.34858399629592896,Entire home/apt,185,11,80,2025-06-08,1.18,1,295,30,VT-52105-V
1842193,"Estudio, lugar singular + wiffi, a pie calle",9244329,Jo,L'EIXAMPLE,RUSSAFA,39.46163,-0.36955,Entire home/apt,98,3,60,2025-03-24,0.62,4,247,2,VT-36177-V
1895636,Luxury Attic Old town Valencia,9609511,James,CIUTAT VELLA,LA XEREA,39.47343,-0.37101,Entire home/apt,175,30,0,,,1,364,0,
1991246,HABITACIÓN AMPLIA DOBLE (double room),8788278,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46837615966797,-0.3317129909992218,Private room,,2,75,2025-05-25,0.55,2,0,14,VT-45916-V
2020871,Room Beach Malvarrosa,6167570,Isabel Y Mario,POBLATS MARITIMS,LA MALVA-ROSA,39.47793,-0.32493,Private room,58,7,89,2024-09-01,0.67,2,310,8,
2053439,apartment Valencia Center,10172001,Jose,CIUTAT VELLA,LA XEREA,39.47625,-0.37203,Entire home/apt,119,3,270,2025-05-19,2.17,1,339,24,VT-45017-V
2103536,Penthouse with terrace and pool,10725621,Erika,CAMINS AL GRAU,AIORA,39.46336,-0.33761,Entire home/apt,183,4,181,2025-04-28,1.39,1,285,14,
2146923,Great 3 bd flat historical centre,10959379,Victoria,CIUTAT VELLA,EL CARME,39.47798,-0.38155,Entire home/apt,149,1,739,2025-05-13,5.33,5,44,48,VT32878V
2211787,NEW COSY LOFT IN HEART OF VALENCIA,9855565,Maria,EXTRAMURS,ARRANCAPINS,39.46609,-0.38208,Entire home/apt,97,3,565,2025-06-01,4.08,1,182,62,VT-44006-V
2353221,Habitación centro doble con terraza  valencia,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37183,Private room,36,3,117,2025-06-14,0.85,2,348,26,
2360229,DOUBLE ROOM+WIFI+TERRACE,7463142,Silvia,L'OLIVERETA,NOU MOLES,39.47135,-0.40503,Private room,44,28,59,2024-12-21,0.43,1,180,1,
2364778,Lovely flat in ideal location Wifi,3454879,Vivien,L'EIXAMPLE,LA GRAN VIA,39.46807,-0.36511,Entire home/apt,125,7,296,2025-06-04,2.16,1,15,21,VT-37238-V
2375520,Central with double bed,2102653,Viviani,EXTRAMURS,ARRANCAPINS,39.46673,-0.38829,Private room,56,3,47,2025-06-05,0.34,1,55,20,
2445550,Centric apartament terrace and wifi,6068973,Carlos,CIUTAT VELLA,SANT FRANCESC,39.47161,-0.37684,Entire home/apt,920,100,220,2019-09-25,1.60,1,0,0,VT-37898-V
2459637,Habitación céntrica con terraza Valencia-Ruzafa,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37286,Private room,40,3,149,2025-06-07,1.09,2,340,26,
2486462,APARTMENT IN HISTORIC CENTRE,12723722,Cristina,CIUTAT VELLA,LA SEU,39.47636,-0.37638,Entire home/apt,107,3,254,2025-06-06,1.85,1,233,31,VT - 44804 - V
2488639,FERIA VALENCIA+wifi+garaje PGVT-1718-V,12737363,Toni,POBLATS DE L'OEST,BENIMAMET,39.50489,-0.42584,Entire home/apt,130,2,120,2025-06-09,0.88,1,60,14,PGVT-1718-V
2533554,Habitación en el Cabañal,12976069,Eva,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46385,-0.33058,Private room,31,1,317,2025-05-30,2.34,1,18,58,
